issue type,summary,description,priority,status,parent,reporter
Task,Implement Passkey Registration Flow,"Create Passkey registration UI and integrate WebAuthn API for credential creation. Components: PasskeySetup.tsx. Tables: N/A (browser credential storage). Edge Functions: N/A.",High,To Do,US-AUTH.7,Tech Lead
Task,Implement Passkey Login Flow,"Create Passkey login UI and WebAuthn authentication flow with OTP fallback. Components: PasskeyLogin.tsx. Hooks: usePasskeyAuth.ts. Edge Functions: N/A.",High,To Do,US-AUTH.7,Tech Lead
Task,Build SMS OTP Integration,"Integrate Twilio/AWS SNS for SMS delivery. Create phone number input with E.164 validation. Edge Functions: send-sms-otp, verify-sms-otp. Tables: otp_codes (add phone_number column).",Medium,To Do,US-AUTH.8,Tech Lead
Task,Implement Google OAuth Flow,"Integrate Supabase Auth Google provider. Create Google sign-in button. Handle profile creation from Google data. Components: GoogleSignInButton.tsx. Tables: profiles.",High,To Do,US-AUTH.9,Tech Lead
Task,Implement Apple OAuth Flow,"Integrate Supabase Auth Apple provider. Handle 'Hide My Email' feature. Components: AppleSignInButton.tsx. Tables: profiles.",High,To Do,US-AUTH.10,Tech Lead
Task,Implement Facebook OAuth Flow,"Integrate Supabase Auth Facebook provider. Retrieve profile data. Components: FacebookSignInButton.tsx. Tables: profiles.",Medium,To Do,US-AUTH.11,Tech Lead
Task,Implement Microsoft OAuth Flow,"Integrate Supabase Auth Microsoft provider. Support Azure AD. Components: MicrosoftSignInButton.tsx. Tables: profiles.",Medium,To Do,US-AUTH.12,Tech Lead
Task,Build Unified Authentication UI,"Create single sign-in/sign-up page with tabs for all auth methods. Components: UnifiedAuthPage.tsx, AuthMethodTabs.tsx. Hooks: useAuthMethod.ts.",High,To Do,US-AUTH.13,Tech Lead
Task,Build Account Linking UI,"Create account linking interface in profile settings. Handle duplicate email detection. Components: AccountLinkingSettings.tsx. Tables: auth.identities (Supabase built-in).",High,To Do,US-AUTH.14,Tech Lead
Task,Implement Authentication Analytics Dashboard,"Create admin dashboard for auth analytics. Track auth method usage, success rates. Components: AuthAnalyticsDashboard.tsx. Tables: analytics_events (new table).",Medium,To Do,US-AUTH.15,Tech Lead
Task,Build Authentication Error Handling,"Implement graceful error handling for all auth methods with fallback mechanisms. Components: AuthErrorBoundary.tsx. Hooks: useAuthFallback.ts.",High,To Do,US-AUTH.16,Tech Lead
Task,Implement Tag Filtering UI,"Create tag cloud or checklist UI for product filtering. Update search logic to support tag filtering. Components: TagFilter.tsx. Hooks: useTagFilter.ts.",High,To Do,US-PS.3,Tech Lead
Task,Build Multiple Filter Support,"Implement AND logic for multiple filters. Display active filters with clear option. Components: ActiveFilters.tsx. Hooks: useMultipleFilters.ts.",Medium,To Do,US-PS.4,Tech Lead
